13,180.99773316506125,92,"[-1.517686875398387, -1.1764270934637824, 0.42716022972716833, 0.6695789673034248, 0, -1.403183478673179, 0, 0, 2.7952427842849654, -0.06255700195633403, -0.5548126436714909, 1.8447709392678386, -2.4284977302395627, 1.5163177580358471, -2.53950157314285, -2.459366442289181, 0.4514765719849373, -2.7461304504279735, -0.3717378594369841, 2.906717924112002, -0.5467481660366144, 0.37114787718631503, 2.488393699477357, -0.6664674760913537, 1.1481274400818637, -2.1648375091334273, 0.17298881691467385, 2.3742824119172963, -0.693233257726381, 0.00289364397408576, 2.7368004787719284, -1.7018890319722004, -1.4648198211197563, -2.8757606780081724, -0.12362416004786372, 2.2606743419698163, -3.1258390880703195, 0.24712826146586067, 1.7690295446434434, -2.939996526962618, -0.3359439699338213, 2.8741391864548795, 0.015365690852596628, -0.57547130266399, -3.0923246379683, 0.15731480231478814, 1.3008186235565582, -2.966219966331201, 0.19817758838877314, 2.1196834218503025, 2.842544976680383, -0.8656279969212896, 1.6668674016743161, -1.5568125745662067, -0.7360182213073454, 2.3192751979534245, 0.44306449691513244, -0.15933742665765743, 3.068073920663275, 0.08749300536691633, 1.6997795673904101, 2.9271930339082637, -0.6021763995089088, 2.2566098607624827, 1.8282539510941829, -0.6845771405116274, 3.1168664727803734, -0.1814111094254779, 0.4387882364167129, -2.998912723303483, 0.20721500420198602, 1.345319231379617, 3.1269663288611405, 0.10407724929330973, 2.5539953258330756, 2.954853382433428, -0.3080814931818415, 2.5230985791179683, 0.9401941736362943, -0.7253340742982827, -2.9072513531881827, -0.011192951090495175, 1.1465980288007969, -2.7901998129369043, 0, -2.450791313412441, -0.38209904755750734, 2.6145836782578464, 1.2763150828785934, 0.42888497420422356, 2.8419997862739286, 0]","[0, 1, 2, 3, 4, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 93, 94, 95, 96]"
72,118.60568173934743,82,"[-2.2229302939355176, 1.7306217459009727, -1.619664589469293, 1.9121736353716592, 0.6031075024015727, -0.9934747893123315, 1.520503880453051, 1.6012376924328198, -2.331995341355873, 1.8810268652783728, -0.7235489893873112, 1.6539256119181045, 1.7188378867423744, -0.48509276867032514, -0.5716555119592405, 0.4516086853653504, -0.9429698155554957, 1.2657149949314863, -0.25790361340142176, -1.3753843233387135, 1.0152807814786822, -2.8545843182222805, 0.09397462715419651, 1.1540209291871113, -1.0212878718753575, -2.0895297918372817, 0.9768790236094531, -0.8865531970950324, 3.0976033710896442, 2.7630934654998915, -2.384317126156618, 0.8681305009918603, -2.121762934512808, -2.2147317659264805, 1.4505153143982537, -2.7246434351034616, -2.095586445523025, -2.3753561734094375, -0.5963307844162755, 2.473065218502385, 2.180059218101135, -1.0662751526728547, 2.3013150587101765, -1.244219077397155, -0.6554583351504625, 1.6372924085564498, 2.6069413519127047, 0.8859107620099381, 2.9486328347171016, 0.807098019378099, 2.38093140881119, -2.7799686879695993, 0.4803677796847476, 3.105501524657844, 2.0582929832472203, -1.134389116058117, 1.786315263049045, 0.9481557376001598, 0.4169912028050473, -3.1132974382691216, -0.5302610349478311, 2.8210126825721233, -2.6450994886535053, 0.20151056379993906, 2.9176007693706265, 2.2743619973718876, 0.0971850957810591, 3.0917747014484824, 0, 0, -1.7730726224912905, 0.7677516069924978, -2.906358397653493, 0, 0, 2.997467232165146, 0, 0, 0, 0.49529214846145464, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 73, 74, 75, 76, 79, 84, 85, 87, 89, 91, 92, 94]"
112,166.91663233576813,97,"[-2.036447139899764, 2.3087918402993215, -2.6228524096026766, -2.9432569694409363, 2.3517332858970033, -0.5412006396111342, 1.2764595946414028, 0.8014497547670094, -0.821037959646601, -2.9358589891439615, -0.2647776839698463, 1.364018752136054, 2.6604945878489414, -2.9874967701474575, 0.40553963163212975, -2.388904942245664, 0.3393537409613461, -0.18590717832644968, -1.0677493466032433, -0.7483717144666577, -1.4375280622663285, -2.8082344583390624, -0.7581227773443443, 2.484694385058994, 0.017727447245559986, -3.123925123696272, 3.065774003580815, 0.19135607605343005, 2.095578516454264, 2.266302927247918, 0.11839995485665647, -1.8077263398853904, 1.1964414864313628, 0.8710143583911076, 1.4891041995409344, -0.8247845832905687, -0.09930770126838663, -3.1175575365196018, -0.0885150715354081, 0.34401142228323484, 3.1293204977597946, 0.017173708105289096, 1.6963280575630002, -3.0995794020307055, 0.7899592582183862, 2.4558215718968315, 2.193716187414285, -0.0673573906996344, 1.9004631858987122, 0.7223861143061825, 0.012635291180437871, -0.026095952535207415, 1.3829535266341801, 1.0367392394844537, -0.12913228593102555, 0.7402620627856377, 1.216602887482319, 0.19301174167181392, 0.4521171601310847, -0.23499673962340853, 2.270246366484276, -1.5524279787195736, 0.0048945054442554895, 2.4128235410122136, 0.3570378091481688, -0.5265089996078627, 2.2842540843896617, -0.2998614354715202, -1.1327889737988739, 1.2712483751965302, -0.9123112713700215, 2.4800873441102844, -1.13136270120652, -1.743934120087019, -0.9224074958820074, 2.8333173226501236, -2.8805527322049183, 0.38435009009462556, 2.4480189988021173, -1.8606999538188167, 1.7583081139790682, -2.2395307683796575, 1.7369456881830603, -1.2524662576006793, 2.002496499096227, 1.0436260329824028, 2.4739521584603827, 3.1402965396732108, 1.6004856790050224, -2.9551998102574264, 0.5936979531812132, 0.08321514608387753, 2.598764634932622, 2.633779522275633, -0.2955534497628812, 3.0782629932666232, 2.1385537974926168]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]"
120,192.0426789257579,92,"[-2.2444214224695602, 1.277477191966884, -2.2463033915922948, 0.030677634322250343, 1.5884716365258091, -1.4723745254831921, 1.4680166910880001, 2.7046037187448664, -2.5425242001322, 1.4640199930440907, -1.6746064496471706, -1.4544353330825583, 1.0724634570798366, -1.948205571112476, 1.3610211128825114, 1.135120014184078, -2.2898579168399444, 1.2996885755689405, 2.8556306423528373, -2.3787086467074685, 0.8499902277795399, -2.458561732273325, -2.456497200338103, 1.1045557917369389, -1.950416514502318, 2.7571442287363075, 0.8491827525796829, 3.072043907136104, -2.339111399658798, -1.7752175319829184, -2.238860999162884, 0.41066278479582136, -2.8891381590712792, -2.527863167389857, 1.847629919906852, -2.469849826599321, 0.43985155724396147, 0.9063081010679166, -1.965605726760695, 1.0244263150277888, 3.0638770285511545, -0.861146972528946, 1.088130959357365, 0.2041480738077245, -2.3687705579645915, 0.7560312613256946, -1.643708031124092, -2.156156460909514, 2.043177551156572, -2.1007588185852804, 1.0789606509204661, 2.225286546069956, -2.825156429085558, 1.4152796070179685, 2.9077227671626873, -2.095547377028722, 1.5790233538876115, -2.2098329348668133, 0.5692541070087686, 1.6650959620291903, -3.070639742840844, 0.45029184306392755, 0, 0.9892171910626201, 0, 0.950585175832786, -2.71903688026728, 0, 2.849542271670002, 0, 0.19288457318142574, 0.41564812710255244, -2.7427581547231914, 0.5066055488684021, -1.1831008775220786, -2.8822375852558, 0.38238732060404296, -2.3962011329443764, 0.5854708154415214, 0.26334692237090657, -2.7363783551276337, -1.088564824825748, 0.16134781445080174, -2.6137453209013644, 0.8937201563338972, -1.3829947352542962, 2.588276082310471, 0.3636882363416135, -2.846752320302412, 2.491964004057624, -0.8607525949935595, -2.6108430950280916]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]"
132,152.84794348352904,94,"[-1.8891444802560975, 2.1323434060656443, -1.7242309461682455, 1.6975788423158393, -2.4064659772119583, -1.8023065239427318, 1.1116790667175913, 2.171801876044985, -2.053862873332039, 1.8513967778741627, -0.5004548512178855, 2.999870786056824, -2.8243952114081816, 0.2734473038061604, -2.042126972606066, 2.0599379452697106, -0.4015695412870331, 1.2525684612767678, -0.6514523074082914, -0.8020148288181889, 1.6207969962879214, 1.657193720937992, -1.3641606595659808, 2.2148778124835427, 0.04619691042487888, 1.628665386204425, 1.8291741162577402, -1.329171002786599, 1.3511022675539013, -2.5147563864272344, -0.8007377906302435, -0.5923860070657111, -2.326416792504289, 0.5140761037606395, 2.6971097202370795, 1.7450469352063327, -0.20150725463104183, 2.6631010697295783, 0.5626972976403314, 1.159291996886302, -2.93989026939813, 1.0899860407221984, 2.4883000803533237, 2.220186864273794, -1.0695926017715216, 2.858992688747964, 1.866811516424706, -0.559896714557507, -2.5820271788575715, 1.8206093162106456, 0.17347894955805676, -3.032388919691378, 0, 0.45912771621120463, 0, 2.1226525026225396, -1.2005136789373996, 1.7573178656363986, -2.138247318781313, 0.7252414960370819, 0, 0.9281796593613997, 0.7451680364118765, -0.8240665015833976, -1.042068388151144, 2.5759373470831615, 2.7272945803770883, 1.148834939572596, -0.3139346289583977, -0.0892244227926878, -2.8985073695466257, -0.6606394404335859, 1.0480621226257603, -3.026005321117538, 0.3603486164379141, 2.0737028541886513, 1.2323333875799498, -0.3072207452311435, 2.6564588934170708, 0.2962311586122902, -0.16114705818337374, 2.66710086431665, 0.05311588180169837, 1.4675893135641997, -2.8212418144875735, -0.17415499819435373, 2.8463313761689992, -0.6444377985013371, 0.3063268079147355, 2.5041420104841547, 0.7916819659812795, -0.9311627900410685, 2.8807875243381194, 0.33724265498105016]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]"
163,174.740623741379,88,"[-2.061772732768142, 0.03806596291702298, 2.607131306249569, -0.680232540322911, 1.4270795597626282, -3.0956941947361067, -0.02443368228440733, -2.95914779327732, -2.654414460349053, 1.924169003221694, 3.0504133540998817, 1.2793513312183142, 0.9265924609922118, 2.8180770136185926, -0.7947665016480635, 1.142933214418729, 2.7200818751392752, -0.09866527829111948, 2.3909417260219716, -2.9466779014273277, 0.5389636865511154, -2.578451045800877, -0.12972506006474074, 1.040435140423626, -1.4232689916875954, -2.502154401091114, 1.6316395466633817, 2.9422205508175248, -0.044504162005168456, 2.8362163274674663, -2.8316879364154257, -0.1449807706173441, -2.727453384149521, 2.162469585681591, 0.26415073350133855, -3.073672354648096, 2.6382857058026716, -0.7757713237359953, 1.3947145080180225, 0.5885665987173322, 0.2469733353833481, -2.7775305505203183, 0.19687820242022394, -1.1354001057454817, -2.6928178424924676, 0.5109554417690978, -2.4386506675376194, 2.3550845552064636, 0.3950574412482692, -2.6523255113584647, 0.7500167091438541, 0.18803493795898135, 2.617339644436524, 0.7488524763006419, -2.0575972030240357, -3.062525833220546, 0.3327219395691989, -3.035655322752869, -2.9865061221320937, 0.8229264670660331, -2.3851104374588115, -2.505286569908032, 0.6555640144592342, -2.8905603127854675, -0.5429255909087287, 1.3031172085945186, -2.293560149094956, 0.8251966008791459, -1.9767565940402163, 1.3988601664271363, -0.38496809415228395, 2.310565769189405, -0.7277193465724809, -1.09460010943841, 2.7914317841193235, 0.09155002503663928, -1.3224033884325666, -1.830289491130335, 1.9599979877813998, -2.9925891630284496, 0.26940543105502646, 1.1247398317851653, -2.6484770888180815, -2.308352159068607, 0, -0.44133559687482465, 1.6451740159389279, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88]"
196,154.33507780640446,83,"[-0.6173057768323542, 0, 0.11361833696691158, 2.861502028116711, -3.1274504717151244, 0.11123468956324505, -2.6793133772596334, -2.5976723781654587, 0.10036006631971199, 2.7683734538297378, 1.6714136782486864, -0.006865696590561885, 1.9940817354139306, 0.06991788434128733, 1.5687344086093915, 2.646573960730468, 0.049048455609682434, -2.7418432984939174, 2.636566558797098, -0.2805079928099776, 2.68623367516465, -1.2701326624914264, 1.40398689686804, 0, 0.25817266276863093, 2.4366076568315655, 0.026272970081285884, -2.113501976065555, 2.354022717332435, 0.040179193533430135, -2.658271627394711, 0, 0, 2.871538824685839, 0, 2.5636310279800267, 0.38388526279685486, -2.764999074185932, 1.548951005409238, -0.5798164708430742, 0, 2.244042545667186, -2.8431751899881554, 0, 1.5150033516468913, -3.0234837578674276, 0, -1.8916219557337504, 0, 1.7164422500499423, 0.6245392874669112, -2.693715014473251, -1.3054117042036273, 1.031013004296471, 0.14363128351021634, -1.4092585476141364, -0.20319368041132893, -2.3438976396760385, -0.4394793043028539, 0.7286463994494837, 2.090882044404097, -0.12960072896103164, -0.15821991383860934, -2.510818568265698, 0.745247585955003, 2.4934983392973398, 0.24035905861667864, -2.923862457282003, -1.358648420719674, -0.8326423050910818, 2.8727661936628732, -2.7143041622235713, -1.360230658152395, -2.8009746510955438, 0.8117166523921627, -2.838569828174436, 2.530517505753806, -0.38085694570314504, -3.106609178332903, 0.9388187451679575, 0.6599386967749665, -3.138060286566305, 0.13888153628403194]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 50, 56, 57, 58, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]"
203,135.47514049387667,97,"[-2.9079268041964705, -2.715573537619738, 1.9701688806160769, -0.4663965213207682, 2.7961031038136266, -1.7500471216682207, 0.2276629006661832, -3.1160248872078222, 0.262161493148406, 0.8167708644125193, -2.220185322941354, 0.41237447249392395, 2.926647847805026, 2.7708893785900157, -1.742489589206681, 1.3725231813819272, 1.0283931296391855, 0.843357726759603, -2.513975231873988, -0.9636240595312308, 0.8067862519537945, 3.0004181913682126, -0.8740102718139474, 2.576397513603741, -0.20817357122761265, -0.9196221199200715, 2.2596546481751503, -0.3805565365195901, -2.750981718734685, -2.183403276952805, 1.0246660410923945, 2.1634238607257354, 1.6901693488678422, -0.3110661262005101, -2.8285834468677753, -2.555901596900404, -0.36389831055324645, 2.9982406409682696, 0.7402002638659326, 2.1967075346929663, 2.9165042533543146, 0.8261571790517273, 1.2641251998948784, -2.3135489973999857, 3.0519234459892406, 2.1128749457254425, -3.1143566855629308, -0.43825944642003306, -1.6106534036687676, 0.7470605981119907, -0.4322035906413174, 2.5585198235577327, 1.0109850388658466, -0.7645458914821025, 3.0064782090168616, -0.9183068816971582, -3.0836908871144773, 2.9276827904813425, -0.04953475501846971, -3.121616586318664, -2.6833667902104166, -1.5896007413988156, 1.960699593673202, -0.18260460779189583, 1.0668148398813555, 2.5621563662602216, 0.33933347212628023, -2.824196935394814, 1.0274014948629577, -2.057088431006931, 2.267013502338147, 2.4553646452263265, -0.8741597400265774, 2.540959045151321, 1.5704686025444343, -0.7881836465188242, -2.89553119552476, 0.0999393468205901, -0.17740280273580053, 1.457186561166799, 0.7982872549332998, 0.9926406576904641, 1.6587913825059488, -1.6697007793949936, 2.7250046060311353, 3.0865277229402652, -0.45939201738283636, 2.787392817087973, -2.8871112136303316, -0.2516441676699748, -2.2386821177804204, -0.6509863886141166, 1.6426260523657525, -3.0218552266760392, -0.05542420303626625, 1.2136462846922729, 2.6753258511234264]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96]"
221,127.87073023484254,88,"[-2.0315618061014216, -0.17347725662463032, 2.858411795871131, 0.9332328267708788, 3.0288275931852775, -1.3288879839424779, -0.4016944252550205, 2.623050566295016, -0.3623346316468815, 1.4655007160263387, -1.684114831765107, -0.5394535945716359, 1.9725850474159992, -0.46258040990745486, 0.9255748649150699, 2.327196755304092, -1.3955523554944336, 0.7490014063656858, 1.8989409792312386, -0.8589715040563877, 1.6732963659668638, 2.853787144331681, -0.4873863227819922, 2.3203016058274626, -1.8384993007469996, 2.0369822280713903, 2.728569278761963, 3.0712141586447816, 1.8930985782414405, -1.8420987108742033, 1.0313047977373317, 1.6583123483110527, -0.5680537285400147, -0.5544421574415082, 1.5947562628450616, -1.8754624409380745, 0.16019992062743102, 2.289080534299639, 1.5432257418839426, -2.835737066627693, 2.5506254956279584, -1.158747119370912, 1.893427303208655, 0, 1.8375101421252087, 2.190211203743016, -0.5172711134024157, 0, 2.27445045709042, 2.4006721971579768, 0, -2.800713641869673, -0.9595170972588133, 1.3461783926096795, -1.445302132602772, 0, -1.0436854254117616, -1.1718258773637047, 2.6226705997411, 0.8081392394351661, -0.16506352956493228, 3.015262408657093, 0.19072768371623977, 2.1923378209335525, -2.3741489657060195, 0, 2.4170615095515235, 0.08973901324403818, 2.7100814208336104, 1.6012634441083602, 0.18448711214477226, -3.0210156831818584, 1.0987515781918746, -0.9997518231651396, 2.450840138612353, 9.530114411640596e-06, -3.0059669656340002, 0.5447712248937244, -0.6295985885380865, 2.9675055762853306, 0, 0, 1.5965195347239238, -3.019185605753686, -2.0802944981835436, 0, 0.994384458637953, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51, 52, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 89, 90, 91, 92, 94, 95]"
342,166.62761359623093,85,"[-2.3879971518802465, 0.042619533268845274, -2.777608168478321, -0.17133543615151914, -2.5167673225268343, 1.3114778495607042, -0.6662818611404883, -2.918205415652463, 1.4840267834436827, 0.043502006937334144, -2.1112108382283026, 1.3831494521492302, -0.8441422894892351, -2.760384624562476, -2.8474798434926853, 0.3349978712346799, 2.5507288971460436, -0.8724112644463996, 0.12420298565580312, 1.3096607883510196, 0.8133750952625978, 2.364919835145141, 0.7146339740555194, -1.2493752909296025, 1.8310896418279843, -0.35589531929436535, -2.4042207065872856, 0, 0, -2.6884104629270764, 0, 2.9616232108389213, 0.30186630658700714, -0.2434031068332991, -2.356678109037094, 1.1234607306792164, -1.5749811053475864, 2.6194775525269245, 0.6796813421641245, -1.7221116916433608, 1.423642712446863, 0.6013104070546279, -2.6265051211844836, 1.1555782002705004, -0.630146205156556, -2.8349668773368557, 0.9243436208118965, -1.6271492108414145, -2.4138696846562633, 0, 1.3182818723079262, 0, 0.5500729283398913, 1.0082675425862921, -0.949828730056349, 1.9543151198090338, -0.7262381984046241, 0.46644092688098915, 1.8168551965749662, -1.5377281698749212, 0.3884153367514401, -0.01934128399006094, -3.1242448327751218, 2.356137254415019, -1.4852755900077668, -3.0098137993775103, 0.9103540578451794, -0.34662278936054436, 2.721324119007068, 1.6036336788455803, -0.6480524075018435, 3.025920685086182, 1.712509796547758, -1.5343347806534076, 2.67136471767536, 1.446201717277078, -2.14800565583132, 2.5889980501186676, -1.1103883820473162, -0.7798323685224441, 2.0025056746186065, -0.4871851495621504, 0, -1.169251950231678, -0.7981909954163844]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 95, 96]"
